index,polygon_id,season,uncultivated_pct,wheat_pct,sorgum_pct,cotton_pct,others_pct
0,0,2020,5.74,18.89,13.58,16.19,45.6
1,1,2020,4.73,8.91,8.07,18.28,60.02
2,2,2020,13.88,19.55,14.7,7.37,44.49
3,3,2020,12.22,27.95,18.28,2.24,39.3
4,4,2020,11.05,32.74,19.29,1.18,35.74
5,5,2020,29.31,10.84,18.69,1.9,39.26
6,6,2020,9.27,19.42,13.22,11.41,46.68
7,7,2020,6.25,34.36,20.11,2.93,36.34
8,8,2020,22.38,18.16,16.31,3.1,40.05
9,9,2020,5.15,20.83,15.63,12.94,45.45
10,10,2020,32.71,10.7,11.69,6.34,38.57
11,11,2020,11.06,17.01,14.9,11.54,45.48
12,12,2020,13.83,16.87,6.62,17.12,45.56
13,13,2020,21.61,20.23,11.78,1.94,44.45
14,14,2020,14.05,19.3,17.03,9.05,40.57
15,15,2020,9.6,43.54,23.33,1.46,22.07
16,16,2020,9.04,31.54,22.35,0.89,36.19
17,17,2020,9.38,36.64,11.71,1.97,40.31
18,18,2020,13.33,16.97,19.16,3.76,46.78
19,19,2020,11.96,12.3,13.35,4.39,57.99
20,20,2020,11.9,12.39,16.33,7.6,51.78
21,21,2020,11.89,9.38,7.65,10.11,60.97
22,22,2020,7.32,31.63,10.59,1.62,48.84
23,23,2020,8.11,14.56,15.86,4.13,57.33
24,24,2020,5.94,13.73,9.89,10.23,60.22
25,25,2020,7.26,6.73,9.77,6.5,69.74
26,26,2020,3.6,16.39,7.07,7.78,65.16
27,27,2020,8.11,25.06,16.66,4.2,45.96
28,28,2020,2.76,2.91,8.79,11.14,74.41
29,29,2020,7.18,6.87,8.41,11.0,66.54
30,30,2020,4.68,17.29,11.0,7.31,59.72
31,31,2020,6.62,5.34,9.42,11.24,67.37
32,32,2020,11.52,17.56,11.82,19.71,39.4
33,33,2020,11.19,8.31,16.89,8.39,55.22
34,34,2020,3.92,20.16,15.38,25.97,34.57
35,35,2020,6.22,5.02,16.96,18.96,52.85
36,36,2020,3.98,3.78,13.28,25.63,53.33
37,37,2020,12.67,5.86,16.17,19.9,45.4
38,38,2020,16.43,22.38,17.42,4.19,39.58
39,39,2020,4.17,29.69,22.84,5.36,37.94
40,40,2020,6.65,33.15,11.93,8.07,40.2
41,41,2020,2.03,26.82,11.85,8.48,50.81
42,42,2020,5.25,43.31,18.14,5.54,27.76
43,43,2020,9.02,36.73,16.05,1.06,37.14
44,44,2020,70.15,,22.24,1.21,6.4
45,45,2020,70.59,0.22,10.93,7.68,10.58
46,46,2020,3.02,39.23,18.66,5.06,34.03
47,47,2020,15.31,27.9,10.63,3.15,43.01
48,48,2020,22.45,15.96,15.11,2.84,43.65
49,49,2020,4.48,34.73,22.82,3.49,34.48
50,50,2020,7.04,36.09,13.85,5.31,37.71
51,51,2020,12.7,30.84,13.57,1.52,41.36
52,52,2020,11.53,39.26,16.3,2.54,30.38
53,53,2020,1.78,41.75,28.02,4.75,23.7
54,54,2020,2.44,35.71,17.08,8.25,36.53
55,55,2020,4.24,40.22,31.67,2.06,21.81
56,56,2020,5.6,39.66,24.31,3.19,27.25
57,57,2020,16.29,27.56,22.76,2.25,31.13
58,58,2020,14.59,33.08,24.07,1.28,26.99
59,59,2020,24.88,15.42,18.98,0.67,40.05
60,60,2020,41.64,14.15,22.63,0.27,21.31
61,61,2020,5.49,33.74,20.03,2.49,38.24
62,62,2020,3.44,24.66,3.22,13.26,55.42
63,63,2020,9.86,29.55,37.01,0.58,23.01
64,64,2020,9.51,27.83,29.9,1.81,30.95
65,65,2020,5.72,18.85,18.39,4.86,52.17
66,66,2020,4.96,20.42,12.24,3.39,58.99
67,67,2020,20.37,23.88,30.76,1.16,23.84
68,0,2021,3.97,19.95,13.91,16.5,45.68
69,1,2021,3.22,13.48,8.89,13.67,60.73
70,2,2021,13.48,22.67,18.99,5.27,39.57
71,3,2021,13.62,27.48,18.99,2.1,37.81
72,4,2021,12.25,28.37,12.98,2.0,44.4
73,5,2021,32.05,11.35,20.68,0.91,35.01
74,6,2021,5.99,26.47,14.23,10.03,43.28
75,7,2021,5.08,28.4,22.1,2.38,42.03
76,8,2021,24.64,15.29,17.74,4.03,38.31
77,9,2021,4.95,23.86,18.97,9.05,43.16
78,10,2021,25.4,13.88,12.68,3.73,44.3
79,11,2021,9.31,18.7,17.87,6.25,47.87
80,12,2021,9.78,18.99,8.21,10.15,52.87
81,13,2021,22.11,16.49,15.03,1.32,45.05
82,14,2021,10.07,22.63,22.54,12.31,32.45
83,15,2021,10.12,35.56,27.06,0.37,26.9
84,16,2021,12.79,25.26,26.04,0.59,35.32
85,17,2021,6.93,37.66,25.25,1.46,28.7
86,18,2021,11.5,20.16,17.59,2.78,47.98
87,19,2021,8.29,17.13,12.16,3.0,59.43
88,20,2021,9.83,14.31,12.28,3.53,60.05
89,21,2021,16.42,11.17,6.3,2.63,63.48
90,22,2021,4.87,38.56,19.36,1.27,35.93
91,23,2021,7.57,15.1,17.42,2.13,57.78
92,24,2021,3.86,16.9,9.51,7.0,62.73
93,25,2021,10.56,6.81,9.99,4.23,68.41
94,26,2021,4.3,16.39,7.35,9.53,62.44
95,27,2021,8.12,26.81,17.5,2.38,45.2
96,28,2021,11.63,2.8,8.15,5.05,72.37
97,29,2021,10.64,8.5,8.7,5.15,67.0
98,30,2021,4.43,19.26,11.56,4.14,60.61
99,31,2021,5.49,8.18,9.54,9.29,67.51
100,32,2021,9.9,18.18,10.63,20.15,41.14
101,33,2021,7.72,13.91,17.47,7.22,53.69
102,34,2021,2.67,22.28,13.56,24.58,36.91
103,35,2021,5.37,6.65,15.55,13.64,58.79
104,36,2021,3.14,3.72,5.94,31.91,55.29
105,37,2021,4.6,11.86,11.21,30.96,41.36
106,38,2021,6.86,31.71,19.2,5.06,37.17
107,39,2021,3.97,29.18,25.7,5.28,35.87
108,40,2021,4.73,34.03,16.76,6.89,37.59
109,41,2021,1.82,23.26,18.14,8.19,48.59
110,42,2021,3.75,42.66,30.99,2.95,19.65
111,43,2021,10.43,24.13,28.76,0.49,36.2
112,44,2021,90.16,0.01,4.23,,5.6
113,45,2021,88.26,,9.03,0.01,2.7
114,46,2021,2.49,39.73,27.1,4.54,26.14
115,47,2021,12.87,27.41,24.5,1.31,33.92
116,48,2021,25.01,17.41,13.03,1.57,42.98
117,49,2021,4.26,33.29,28.97,3.64,29.84
118,50,2021,4.46,35.18,20.27,4.06,36.03
119,51,2021,13.84,28.99,17.22,3.03,36.91
120,52,2021,12.1,37.33,13.65,2.03,34.9
121,53,2021,2.17,44.07,26.75,4.15,22.86
122,54,2021,1.51,31.99,21.05,9.01,36.44
123,55,2021,3.14,37.37,31.27,2.54,25.68
124,56,2021,5.34,34.16,25.37,3.91,31.22
125,57,2021,15.36,20.06,27.2,1.09,36.29
126,58,2021,12.74,27.02,20.12,2.16,37.96
127,59,2021,28.08,11.36,9.54,0.53,50.49
128,60,2021,38.03,11.45,18.43,0.2,31.9
129,61,2021,3.99,30.01,28.87,2.15,34.99
130,62,2021,2.55,18.31,6.74,15.91,56.49
131,63,2021,9.59,24.79,31.54,1.41,32.67
132,64,2021,11.6,23.47,27.28,2.54,35.11
133,65,2021,12.77,14.54,20.33,5.91,46.45
134,66,2021,2.21,17.4,14.48,4.51,61.4
135,67,2021,17.18,16.08,38.38,1.41,26.96
136,0,2022,13.35,12.15,9.48,24.63,40.4
137,1,2022,5.84,17.19,6.31,21.51,49.16
138,2,2022,26.43,17.46,11.08,11.14,33.89
139,3,2022,20.23,27.23,16.48,3.04,33.02
140,4,2022,18.49,28.93,12.87,4.53,35.17
141,5,2022,40.11,11.91,15.07,1.59,31.32
142,6,2022,6.23,23.74,11.55,19.26,39.22
143,7,2022,9.46,29.25,15.88,7.14,38.28
144,8,2022,37.64,15.02,13.18,3.47,30.7
145,9,2022,9.34,21.63,14.17,15.19,39.66
146,10,2022,35.0,9.54,8.43,7.33,39.71
147,11,2022,12.16,21.66,13.79,11.59,40.81
148,12,2022,15.38,15.38,5.53,18.23,45.49
149,13,2022,32.89,15.3,8.67,3.58,39.56
150,14,2022,30.12,12.56,13.89,9.05,34.38
151,15,2022,24.2,27.01,18.43,2.46,27.9
152,16,2022,17.33,24.74,19.94,3.34,34.64
153,17,2022,12.1,32.98,18.38,4.74,31.8
154,18,2022,18.62,14.93,15.8,8.92,41.74
155,19,2022,15.64,12.24,13.71,8.28,50.13
156,20,2022,18.73,10.9,14.89,9.91,45.57
157,21,2022,19.84,11.23,8.27,8.0,52.66
158,22,2022,14.9,27.86,16.24,3.77,37.22
159,23,2022,10.99,15.66,13.96,7.03,52.37
160,24,2022,6.87,14.47,9.5,15.82,53.34
161,25,2022,9.23,14.82,8.57,9.38,58.0
162,26,2022,6.88,20.95,6.12,15.77,50.29
163,27,2022,16.44,23.8,13.11,8.84,37.81
164,28,2022,9.26,10.02,3.82,15.3,61.6
165,29,2022,7.8,12.09,6.43,11.55,62.13
166,30,2022,8.96,18.15,9.2,8.92,54.76
167,31,2022,14.89,7.74,6.49,16.08,54.79
168,32,2022,24.61,12.98,9.01,29.94,23.45
169,33,2022,21.11,8.78,8.25,18.72,43.14
170,34,2022,13.5,15.27,11.67,33.45,26.11
171,35,2022,8.29,6.74,12.58,26.08,46.3
172,36,2022,15.18,1.82,5.99,39.75,37.27
173,37,2022,23.52,6.22,7.14,29.26,33.86
174,38,2022,18.88,21.0,11.95,11.68,36.49
175,39,2022,9.57,25.33,17.59,12.12,35.39
176,40,2022,10.51,29.13,9.83,16.53,34.01
177,41,2022,3.09,35.23,18.66,13.4,29.61
178,42,2022,6.71,38.95,32.11,4.95,17.29
179,43,2022,24.24,29.72,17.84,1.99,26.22
180,44,2022,99.71,,0.25,,0.04
181,45,2022,45.47,1.92,10.58,13.8,28.24
182,46,2022,6.81,33.52,22.47,10.53,26.66
183,47,2022,23.12,24.4,13.25,5.89,33.34
184,48,2022,33.67,17.6,12.37,4.91,31.44
185,49,2022,7.1,35.34,23.96,8.04,25.56
186,50,2022,9.16,36.81,15.89,11.56,26.58
187,51,2022,17.93,28.6,12.05,7.61,33.82
188,52,2022,19.05,30.54,11.69,6.95,31.77
189,53,2022,3.07,44.17,26.29,6.68,19.79
190,54,2022,3.07,36.69,24.85,6.77,28.62
191,55,2022,6.82,31.47,34.97,2.71,24.03
192,56,2022,10.79,33.62,25.19,4.85,25.55
193,57,2022,23.99,21.97,25.34,3.7,25.0
194,58,2022,25.54,23.2,16.2,4.73,30.33
195,59,2022,36.07,12.15,8.39,1.64,41.75
196,60,2022,49.72,11.86,11.37,0.44,26.6
197,61,2022,7.54,29.43,26.62,5.88,30.53
198,62,2022,3.12,21.59,4.56,23.48,47.24
199,63,2022,19.59,26.55,20.46,3.27,30.12
200,64,2022,18.19,26.52,13.45,6.45,35.4
201,65,2022,25.9,20.67,8.84,9.53,35.05
202,66,2022,15.52,24.22,6.01,10.02,44.23
203,67,2022,25.37,24.09,19.64,5.14,25.77
204,0,2023,13.48,9.79,11.55,18.76,46.42
205,1,2023,7.69,11.76,5.32,17.3,57.93
206,2,2023,31.28,13.96,12.37,17.6,24.79
207,3,2023,19.26,25.99,16.67,5.12,32.96
208,4,2023,30.69,14.13,14.63,7.45,33.1
209,5,2023,42.47,9.25,15.96,2.47,29.84
210,6,2023,10.46,19.07,18.95,20.24,31.28
211,7,2023,18.85,21.72,12.52,3.49,43.41
212,8,2023,37.32,11.49,17.21,6.91,27.07
213,9,2023,10.84,18.64,20.52,16.62,33.38
214,10,2023,37.38,9.65,15.2,7.24,30.52
215,11,2023,13.38,17.93,20.64,13.97,34.08
216,12,2023,17.49,9.53,16.14,19.7,37.14
217,13,2023,28.8,15.01,14.76,5.16,36.27
218,14,2023,39.04,7.09,18.25,9.88,25.74
219,15,2023,33.97,20.44,20.88,3.03,21.68
220,16,2023,21.2,21.11,19.53,8.06,30.1
221,17,2023,18.08,24.67,14.91,7.88,34.45
222,18,2023,24.65,10.73,21.11,10.14,33.37
223,19,2023,16.92,9.29,16.46,10.58,46.75
224,20,2023,23.41,9.36,16.04,14.55,36.63
225,21,2023,17.88,10.33,14.73,11.56,45.5
226,22,2023,18.95,18.73,15.33,6.27,40.72
227,23,2023,14.4,14.29,15.95,9.75,45.61
228,24,2023,8.31,11.83,10.75,21.79,47.32
229,25,2023,8.8,14.31,10.89,12.86,53.14
230,26,2023,5.95,13.1,6.44,16.22,58.29
231,27,2023,22.89,14.46,18.48,4.84,39.32
232,28,2023,4.58,8.85,5.01,30.27,51.29
233,29,2023,8.36,9.0,7.97,14.56,60.11
234,30,2023,8.49,12.89,8.89,7.03,62.71
235,31,2023,11.78,8.1,8.57,11.72,59.82
236,32,2023,31.31,9.35,9.49,18.37,31.48
237,33,2023,14.68,10.84,12.63,14.4,47.45
238,34,2023,17.7,10.51,8.69,22.8,40.3
239,35,2023,7.74,10.2,14.17,22.41,45.47
240,36,2023,11.12,2.0,6.34,27.63,52.9
241,37,2023,23.64,1.55,12.52,25.43,36.85
242,38,2023,34.99,13.36,9.8,6.67,35.18
243,39,2023,21.35,19.22,14.27,8.15,37.02
244,40,2023,29.29,31.8,6.38,3.81,28.73
245,41,2023,5.45,22.07,12.41,16.77,43.3
246,42,2023,9.78,29.9,22.09,9.09,29.14
247,43,2023,22.31,19.35,16.1,3.38,38.86
248,44,2023,91.4,,6.28,0.04,2.27
249,45,2023,46.34,1.05,17.49,13.75,21.37
250,46,2023,16.03,22.42,18.96,9.1,33.49
251,47,2023,36.17,11.92,14.05,8.44,29.42
252,48,2023,36.37,11.33,11.4,9.99,30.9
253,49,2023,14.49,20.72,18.63,8.09,38.08
254,50,2023,13.71,25.58,13.97,16.28,30.47
255,51,2023,24.31,18.25,9.54,14.3,33.6
256,52,2023,23.08,25.24,13.33,7.39,30.95
257,53,2023,10.37,31.43,22.23,8.63,27.34
258,54,2023,7.18,27.78,19.6,9.29,36.14
259,55,2023,16.4,23.57,25.59,3.95,30.49
260,56,2023,23.69,19.13,22.25,6.69,28.24
261,57,2023,26.2,15.84,17.66,5.27,35.03
262,58,2023,28.71,14.97,18.01,6.59,31.72
263,59,2023,47.57,4.22,16.46,3.61,28.14
264,60,2023,50.57,8.25,15.82,1.34,24.01
265,61,2023,17.99,18.52,15.95,4.9,42.63
266,62,2023,9.62,13.8,5.52,21.81,49.25
267,63,2023,26.08,18.83,9.92,3.37,41.8
268,64,2023,20.74,18.34,13.69,8.0,39.24
269,65,2023,25.28,9.85,11.97,11.95,40.95
270,66,2023,18.38,12.28,11.4,8.47,49.47
271,67,2023,30.17,16.27,21.94,5.59,26.03
272,0,2024,6.39,7.77,20.32,11.51,54.02
273,1,2024,3.52,9.7,9.57,12.92,64.29
274,2,2024,32.34,8.75,16.41,9.33,33.17
275,3,2024,18.64,16.77,20.9,4.62,39.06
276,4,2024,25.84,12.55,19.92,3.94,37.75
277,5,2024,49.8,5.86,13.53,1.08,29.72
278,6,2024,12.67,12.19,17.73,15.38,42.03
279,7,2024,13.59,20.04,21.04,4.74,40.6
280,8,2024,54.12,3.84,16.39,3.41,22.24
281,9,2024,12.17,14.16,21.04,14.75,37.88
282,10,2024,38.3,3.54,15.67,6.08,36.4
283,11,2024,14.77,9.71,22.83,10.27,42.42
284,12,2024,17.59,8.53,11.41,14.47,48.0
285,13,2024,45.13,8.16,11.7,3.31,31.7
286,14,2024,38.92,2.61,23.87,13.27,21.32
287,15,2024,34.89,9.81,24.29,2.17,28.84
288,16,2024,28.04,8.99,19.07,3.17,40.73
289,17,2024,13.85,20.89,24.34,4.3,36.62
290,18,2024,25.52,6.07,16.75,4.72,46.94
291,19,2024,16.1,3.75,19.42,8.8,51.93
292,20,2024,32.09,4.16,15.13,6.85,41.78
293,21,2024,20.7,3.94,13.26,5.99,56.12
294,22,2024,12.79,10.8,22.6,3.56,50.25
295,23,2024,13.9,6.91,17.47,8.69,53.03
296,24,2024,6.79,7.22,10.53,16.9,58.56
297,25,2024,9.98,5.94,10.63,8.95,64.5
298,26,2024,4.94,15.08,7.66,13.19,59.14
299,27,2024,17.48,17.01,19.75,1.6,44.16
300,28,2024,4.5,3.09,7.86,15.55,69.0
301,29,2024,7.02,4.84,12.88,7.2,68.07
302,30,2024,3.33,10.86,10.95,6.02,68.84
303,31,2024,13.18,5.65,9.02,7.42,64.74
304,32,2024,35.98,6.34,20.25,9.0,28.42
305,33,2024,13.48,7.25,13.5,5.74,60.03
306,34,2024,21.66,5.0,18.93,7.81,46.61
307,35,2024,9.78,5.98,16.04,12.88,55.31
308,36,2024,11.25,0.3,20.32,15.31,52.82
309,37,2024,20.44,0.9,23.31,9.21,46.14
310,38,2024,26.56,8.63,24.49,3.77,36.55
311,39,2024,8.56,18.46,33.64,3.6,35.74
312,40,2024,13.62,18.83,29.57,5.71,32.27
313,41,2024,3.05,15.04,24.89,11.98,45.04
314,42,2024,9.25,26.83,33.35,6.61,23.96
315,43,2024,24.67,18.64,23.94,1.24,31.51
316,44,2024,96.44,0.05,2.22,,1.28
317,45,2024,49.97,2.22,14.2,4.23,29.38
318,46,2024,9.1,21.56,36.66,4.99,27.69
319,47,2024,30.71,16.97,20.41,4.63,27.28
320,48,2024,42.45,11.04,10.39,2.98,33.14
321,49,2024,8.45,21.06,34.14,4.61,31.74
322,50,2024,10.01,17.85,19.82,9.82,42.49
323,51,2024,22.88,14.8,17.56,8.72,36.03
324,52,2024,20.68,22.8,19.23,6.35,30.94
325,53,2024,7.29,23.06,35.81,5.4,28.44
326,54,2024,3.73,21.02,33.89,6.95,34.4
327,55,2024,10.44,19.88,41.97,3.71,24.01
328,56,2024,17.04,20.34,31.56,5.5,25.55
329,57,2024,23.68,10.54,30.81,4.98,29.99
330,58,2024,25.78,9.97,20.52,3.5,40.22
331,59,2024,63.3,4.66,5.82,0.34,25.89
332,60,2024,47.37,7.44,19.3,1.01,24.88
333,61,2024,12.5,15.68,27.78,3.62,40.43
334,62,2024,8.3,8.34,10.53,14.99,57.85
335,63,2024,18.14,14.17,27.03,2.95,37.7
336,64,2024,17.61,15.11,26.34,4.61,36.32
337,65,2024,29.43,7.61,17.02,5.66,40.28
338,66,2024,21.87,9.88,14.7,4.67,48.87
339,67,2024,25.49,16.14,30.33,2.78,25.26
